"Meaning";"Reading";Context Sentence JP;Context Sentence EN;"JLPT (by voc lvl)";"Item";"Joyo Grade"
"Please Give Me, Please";"ください";"ぼくに百万円を下さい。";"Please give me a million yen.";"None";"下さい";"下: 1"
"Mouth";"くち";"口にソースがついていますよ。";"There is some sauce on your mouth.";"N5";"口";"口: 1"
"Mouth";"くち";"これを口に入れてください。";"Please put this in your mouth.";"N5";"口";"口: 1"
"Mouth";"くち";"きのうから口がとじられない。";"I haven’t been able to close my mouth since yesterday.";"N5";"口";"口: 1"
"Entrance";"いりぐち";"入り口のところでまっています。";"I will wait for you at the entrance.";"None";"入り口";"入: 1, 口: 1"
"Entrance";"いりぐち";"入り口が三つあります。";"There are three entrances.";"None";"入り口";"入: 1, 口: 1"
"Entrance";"いりぐち";"入り口にジョニーデップがいるよ。";"Johnny Depp is at the entrance.";"None";"入り口";"入: 1, 口: 1"
"Big, Large";"おおきい";"このぼうしは大きすぎます。";"This hat is too big.";"N5";"大きい";"大: 1"
"Big, Large";"おおきい";"その大きいももを二つください。";"Can I get those two big peaches?";"N5";"大きい";"大: 1"
"Big, Large";"おおきい";"わたしのあかちゃんは、こうしとおなじくらい大きい。";"My baby is about as big as a calf.";"N5";"大きい";"大: 1"
"Size";"おおきさ";"このテーブルの大きさは、よこ100センチ、たて120センチです。";"The size of this table is 100cm in width and 120cm in length.";"None";"大きさ";"大: 1"
"Size";"おおきさ";"テレビの大きさは三十二インチです。";"The size of the TV is 32 inches.";"None";"大きさ";"大: 1"
"Size";"おおきさ";"ロナルド・マクドナルドはいつも大きさのちがうくつをはいていた。";"Ronald McDonald always wore different-sized shoes.";"None";"大きさ";"大: 1"
"Great, Considerable, Important, Big Deal";"たいした";"それは大したことはない。";"It’s not a big deal.";"N3";"大した";"大: 1"
"Great, Considerable, Important, Big Deal";"たいした";"まったく大した女だよ。";"She is such a great woman.";"N3";"大した";"大: 1"
"Great, Considerable, Important, Big Deal";"たいした";"マクドナルドのしゃちょうになれれば大したものだ。";"Being the president of McDonald’s would be a big deal.";"N3";"大した";"大: 1"
"Adult, Mature";"おとな";"これは、大人のりょうきんです。";"This is the adult price.";"N5";"大人";"大: 1, 人: 1"
"Adult, Mature";"おとな";"大人は三人だけです。";"There are only three adults.";"N5";"大人";"大: 1, 人: 1"
"Adult, Mature";"おとな";"大人たちはいざかやにいった。";"The adults went to an izakaya.";"N5";"大人";"大: 1, 人: 1"
"Woman, Female";"おんな";"あの女はだれ？";"Who is that woman?";"N5";"女";"女: 1"
"Woman, Female";"おんな";"わたしは女です。";"I'm a woman.";"N5";"女";"女: 1"
"Woman, Female";"おんな";"おれはこどもをせわする女がほしい。";"I want a woman who will help look after my children.";"N5";"女";"女: 1"
"Mountain";"やま";"ともだちといっしょに、山にのぼります。";"I'll climb a mountain with my friends.";"N5";"山";"山: 1"
"Mountain";"やま";"これはせかい一大きい人工の山なんですよ。";"This is the world's biggest man-made mountain.";"N5";"山";"山: 1"
"Mountain";"やま";"あさ八じに、はだかではげ山にしゅうごうしましょう。";"At 8 am, let’s meet naked on Bald Mountain.";"N5";"山";"山: 1"
"Mt Fuji, Mount Fuji, Mt. Fuji";"ふじさん";"ふじ山に、ごぜん十一じごろまでにつきたいです。";"I want to arrive at Mt. Fuji by around 11 a.m.";"None";"ふじ山";"山: 1"
"Mt Fuji, Mount Fuji, Mt. Fuji";"ふじさん";"ふじ山にはいつも大人のフランス人が三人とちいさいアメリカ人が二人とカナダ人が一人います。";"There are always three adult French people, two small Americans, and one Canadian on Mt. Fuji.";"None";"ふじ山";"山: 1"
"Mt Fuji, Mount Fuji, Mt. Fuji";"ふじさん";"ふじ山はしろいとりのふんでおおわれていた。";"Mt. Fuji was covered in white bird poop.";"None";"ふじ山";"山: 1"
"River";"かわ";"この川には、さかながたくさんおよいでいます。";"There are a lot of fish swimming in this river.";"N3";"川";"川: 1"
"River";"かわ";"にほんいちながい川は、しなの川です。";"Japan's longest river is Shinano River.
";"N3";"川";"川: 1"
"River";"かわ";"川をみるといつもいかりがこみあげてくる。";"Whenever I see a river, I get so pissed off.";"N3";"川";"川: 1"
"Sword, Katana";"かたな";"あのさむらいに、刀をぬすまれたんだ。";"My sword was stolen by that samurai.";"N3";"刀";"刀: 2"
"Sword, Katana";"かたな";"あのアメリカ人は刀を二ほんもっている。";"That American has two katanas.";"N3";"刀";"刀: 2"
"Sword, Katana";"かたな";"スラリと刀をぬいたあのおとこはだれだ？";"Who’s the guy who just whipped out a sword?";"N3";"刀";"刀: 2"
"Soil, Earth, Ground, Dirt";"つち";"これは、こうしえんの土です。";"This is Koshien’s dirt.";"N3";"土";"土: 1"
"Soil, Earth, Ground, Dirt";"つち";"このビー玉を七つ土にうめたら、天のこえがきこえます。";"If you bury seven of these marbles, you will hear the voice of heaven.";"N3";"土";"土: 1"
"Soil, Earth, Ground, Dirt";"つち";"マットのしゅみは、土をほりあげることだ。";"Matt’s hobby is digging dirt.";"N3";"土";"土: 1"
"Thousand";"せん";"このりょうりの本は、千円です。";"This cookbook is one thousand yen.";"N5";"千";"千: 1"
"Thousand";"せん";"そのフランス人は、千に一人の天才です。";"That French person is a one-in-a-thousand genius.";"N5";"千";"千: 1"
"Thousand";"せん";"白玉を千こたべた。";"I ate a thousand rice flour dumplings.";"N5";"千";"千: 1"
"One Thousand";"いっせん";"そのライブには、一千まん人があつまった。";"Ten million people gathered at the live show.";"None";"一千";"一: 1, 千: 1"
"One Thousand";"いっせん";"その刀は、一千えんです。";"That katana is one thousand yen.";"None";"一千";"一: 1, 千: 1"
"One Thousand";"いっせん";"一千フィートのたかさでおならをした。";"I farted at an elevation of 1000 feet.";"None";"一千";"一: 1, 千: 1"
"Last Night, Evening";"ゆうべ";"夕べ、パーティーにいきました。";"I went to a party last night.";"N3";"夕べ";"夕: 1"
"Last Night, Evening";"ゆうべ";"デンマークの王子はフランス人二人をおんがくの夕べにしょうたいしました。";"The prince in Denmark invited two French people to a musical evening.";"N3";"夕べ";"夕: 1"
"Last Night, Evening";"ゆうべ";"夕べ、ひたいに肉とかいてみた。";"Last night I wrote the kanji for meat on my forehead.";"N3";"夕べ";"夕: 1"
"Girl, Young Girl, Young Lady, Young Woman";"おんなのこ";"リボンをつけている女の子がはな子ちゃんです。";"The girl wearing the ribbon is Hanako.";"N5";"女の子";"女: 1, 子: 1"
"Girl, Young Girl, Young Lady, Young Woman";"おんなのこ";"とてもかわいい女の子ですね。";"She is such a cute girl, isn't she?";"N5";"女の子";"女: 1, 子: 1"
"Girl, Young Girl, Young Lady, Young Woman";"おんなのこ";"ぼくのはつこいの女の子は、にんじんがきらいだった。";"The girl who was my first love didn’t like carrots.";"N5";"女の子";"女: 1, 子: 1"
"Kid, Child";"こ";"あなたは、わたしのほんとうの子ではないの。";"You aren’t my real child.";"N4";"子";"子: 1"
"Kid, Child";"こ";"そのロシア人の子は、大人になって、さけよりも上手に川を上れるようになりました。";"When that Russian kid grew up she got better than a salmon at swimming upstream.";"N4";"子";"子: 1"
"Kid, Child";"こ";"わたしの子、ビヨンセににているとおもわない？";"Don’t you think my kid looks similar to Beyoncé?";"N4";"子";"子: 1"
"Girl, Woman";"じょし";"そっちは女子トイレですよ。";"The ladies' room is over there.";"N1";"女子";"女: 1, 子: 1"
"Girl, Woman";"じょし";"わたしは女子ではなく、一人の女せいです。";"I am not a girl but a woman.";"N1";"女子";"女: 1, 子: 1"
"Girl, Woman";"じょし";"女子力をみがくひつようがある。";"It is essential that I improve my strength as a woman.";"N1";"女子";"女: 1, 子: 1"
"Small, Little";"ちいさい";"このふくは、わたしには小さいです。";"These clothes are small on me.";"N5";"小さい";"小: 1"
"Small, Little";"ちいさい";"このクラスには、まだ小さい子もいれば、大人のように大きい子もいる。";"In this class, there are kids who are still small while there are kids who are as tall as adults.";"N5";"小さい";"小: 1"
"Small, Little";"ちいさい";"ぼくのりそうのマリモは、小さい玉ねぎのようなマリモだ。";"My ideal marimo would look like a small onion.";"N5";"小さい";"小: 1"
"Circle, Round, Circular";"まる";"これは、ピカソがえがいた丸です。";"This is a circle painted by Picasso.";"N3";"丸";"丸: 2"
"Circle, Round, Circular";"まる";"このちずにかいてある丸はなんですか。";"What's this circle drawn on the map?";"N3";"丸";"丸: 2"
"Circle, Round, Circular";"まる";"わたしのくろラブは、おどろいて、めが丸になった。";"My black lab was shocked and his eyes bulged wide open.";"N3";"丸";"丸: 2"
"Circular, Round, Spherical";"まるい";"山田さんがつくったのは、丸いおにぎりです。";"The ones Yamada made are the round onigiri.";"N3";"丸い";"丸: 2"
"Circular, Round, Spherical";"まるい";"ちきゅうは丸い。";"Earth is spherical.";"N3";"丸い";"丸: 2"
"Circular, Round, Spherical";"まるい";"わたしのかおは丸いとはいいがたい。";"I wouldn’t say that my face is round.";"N3";"丸い";"丸: 2"
"Years Old, Age";"さい";"わたしは五才です。";"I am five years old.";"None";"〜才";"才: 2"
"Years Old, Age";"さい";"らい月二日に、六十七才になります。";"I'll turn 67 on the 2nd of the next month.";"None";"〜才";"才: 2"
"Years Old, Age";"さい";"ちちの五十五才のたんじょう日に、ホグワーツへしょうたいされた。";"On my dad’s fifty-fifth birthday, I was invited to Hogwarts School of Witchcraft and Wizardry.";"None";"〜才";"才: 2"
"Inside, In, Middle, Center";"なか";"はやく中に入ろう。";"Let's go inside quickly.";"N3";"中";"中: 1"
"Inside, In, Middle, Center";"なか";"いえの中は、エアコンがきいていました。";"The air conditioning was working well in the house.";"N3";"中";"中: 1"
"Inside, In, Middle, Center";"なか";"そうじきの中はからっぽだった。";"The inside of the vacuum cleaner was empty.";"N3";"中";"中: 1"
"Very, Considerably, Quite";"なかなか";"中々できません。";"I really can’t do it.";"N4";"中々";"中: 1"
"Very, Considerably, Quite";"なかなか";"あの王子も中々やりますね。";"That prince is quite good, huh?";"N4";"中々";"中: 1"
"Very, Considerably, Quite";"なかなか";"マリオカートをきわめることは中々かんたんではない。";"It’s not very easy to make oneself a master of Mario Kart.";"N4";"中々";"中: 1"
"May";"ごがつ";"五月四日にくにへかえりました。";"I went back to my country on May fourth.";"None";"五月";"五: 1, 月: 1"
"May";"ごがつ";"五月にはゴールデンウィークがあります。";"Golden week is in May.";"None";"五月";"五: 1, 月: 1"
"May";"ごがつ";"五月に川へいきます。";"I’m going to a river in May.";"None";"五月";"五: 1, 月: 1"
"Fifth Day, Day Five, Five Days";"いつか";"五日もしごとをやすみました。";"I took five days off from work.";"N5";"五日";"五: 1, 日: 1"
"Fifth Day, Day Five, Five Days";"いつか";"六月五日はともだちのたんじょう日です。";"June 5th is my friend's birthday.";"N5";"五日";"五: 1, 日: 1"
"Fifth Day, Day Five, Five Days";"いつか";"五日めに、「これでおしまい。」といった。";"On the fifth day I said, ""That's it!""";"N5";"五日";"五: 1, 日: 1"
"Fifty";"ごじゅう";"かいてんずしで、五十さらたべた。";"I ate fifty plates at conveyer belt sushi.";"None";"五十";"五: 1, 十: 1"
"Fifty";"ごじゅう";"ある天才いしゃは、たったの五十えんでつうふうをなおすちりょうほうをはつめいしました。";"One genius doctor invented a cure for gout for only 50 yen.";"None";"五十";"五: 1, 十: 1"
"Fifty";"ごじゅう";"ほぼ五十ねんかんあなたのことがすきでしたが、きのうさめました。";"I loved you for nearly fifty years, but yesterday that ended.";"None";"五十";"五: 1, 十: 1"
"Five Things";"いつつ";"わたしは五つもおもちをたべました。";"I ate five pieces of mochi.";"N5";"五つ";"五: 1"
"Five Things";"いつつ";"五十人の白人のアメリカ人女子が、五つのおまんじゅうをてにいれようときそいあっています。";"Fifty white female Americans are competing against each other to obtain five manju.";"N5";"五つ";"五: 1"
"Five Things";"いつつ";"人せいには五つのくるしみがあるが、その一つはへんずつうである。";"There are five hardships in life and one of them is migraines.";"N5";"五つ";"五: 1"
"Five";"ご";"トムさんは、コンビニでおにぎりを五こかいました。";"Tom bought five onigiri at the convenience store.";"N5";"五";"五: 1"
"Five";"ご";"わたしのともだちはしょうわ五十五ねん五月いつかうまれです。";"My friend was born on May 5th in the 55th year of Showa.";"N5";"五";"五: 1"
"Five";"ご";"むかしむかし、五ひきの子ぶたをうんだははぶたがいました。";"Once upon a time, there was a mother pig with five baby pigs.";"N5";"五";"五: 1"
"Six Things";"むっつ";"わたしのへやには、テーブルが一つと、いすが六つあります。";"In my room, there is one table and six chairs.";"N5";"六つ";"六: 1"
"Six Things";"むっつ";"川から石を六つもってかえりました。";"I brought back six stones from the river. ";"N5";"六つ";"六: 1"
"Six Things";"むっつ";"わたしは、六つのカップをかいました。";"I bought six cups.";"N5";"六つ";"六: 1"
"June";"ろくがつ";"六月にとうきょうへいきました。";"I went to Tokyo in June.";"None";"六月";"六: 1, 月: 1"
"June";"ろくがつ";"五月に刀を二本かって、六月にトーフグのオフィスでつじぎりをします。";"I will buy two katanas in May and test them at the Tofugu office in June.";"None";"六月";"六: 1, 月: 1"
"June";"ろくがつ";"六月のてんきは、くもりときどきミートボールです。";"The weather for June is cloudy with a chance of meatballs.";"None";"六月";"六: 1, 月: 1"
"Sixth Day, Day Six, Six Days";"むいか";"二人は、せん月の六日に、どこであいましたか？";"Where did you two meet on the sixth of last month?";"N5";"六日";"六: 1, 日: 1"
"Sixth Day, Day Six, Six Days";"むいか";"六日もがっこうをやすんで、いったいなにをしてたんだい？";"What were you doing when you took six days off of school?";"N5";"六日";"六: 1, 日: 1"
"Sixth Day, Day Six, Six Days";"むいか";"月の六日目に、くまがバーにやってきた。";"A bear came into the bar on the sixth day of the month.";"N5";"六日";"六: 1, 日: 1"
"Sixteen";"じゅうろく";"十六さいのたんじょうびにふじ山にのぼりました。";"I climbed Mt. Fuji on my sixteenth birthday.";"None";"十六";"十: 1, 六: 1"
"Sixteen";"じゅうろく";"もう十六ねんもふじ山の入り口からうごかないアメリカ人がいます。";"There is an American who hasn't moved away from the entrance of Mt. Fuji for 16 years.";"None";"十六";"十: 1, 六: 1"
"Sixteen";"じゅうろく";"わたしはえいえんの十六さいです。";"I am forever sixteen.";"None";"十六";"十: 1, 六: 1"
"Six";"ろく";"山本さんのでんわばんごうは、六一二の七七三六ですね？";"Is Yamamoto’s phone number 612-7736?";"N1";"六";"六: 1"
"Six";"ろく";"六じにふじ山であいましょう。";"Let's meet at Mt. Fuji at six o'clock.";"N1";"六";"六: 1"
"Six";"ろく";"六かける六は三十六ですよね？";"Six times six is thirty-six, right?";"N1";"六";"六: 1"
"Yen, Japanese Yen";"えん";"このきっぷは三千円です。";"This ticket is 3000 yen.";"None";"〜円";"円: 1"
"Yen, Japanese Yen";"えん";"王女があやしいアメリカ人と、王しつのかね一千まん円をもってよにげしてしまった。";"The princess took 10 million yen from the Royal Family and flitted away with a fishy American into the moonlight.";"None";"〜円";"円: 1"
"Yen, Japanese Yen";"えん";"円をアメリカドルにりょうがえしたいんです。";"I want to exchange my yen into American dollars.";"None";"〜円";"円: 1"
"One Thousand Yen, A Thousand Yen, Thousand Yen";"せんえん";"このスカートは、千円です。";"This skirt is 1000 yen.";"None";"千円";"千: 1, 円: 1"
"One Thousand Yen, A Thousand Yen, Thousand Yen";"せんえん";"ぎゅうにゅうのねだんが千円上がった。";"The price of milk rose by 1000 yen.";"None";"千円";"千: 1, 円: 1"
"One Thousand Yen, A Thousand Yen, Thousand Yen";"せんえん";"あのやきゅうせんしゅのねんぽうは五千円だ。";"That baseball player makes 5,000 yen per year.";"None";"千円";"千: 1, 円: 1"
"Round, Circular";"まるい";"円いおさらをつくえにならべてください。";"Please line up the round plates on the desk.";"N2";"円い";"円: 1"
"Round, Circular";"まるい";"円いまどがあるのが、王女のへやです。";"The room with the round window is the princess's.";"N2";"円い";"円: 1"
"Round, Circular";"まるい";"わたしは円い月がこわい。";"I’m afraid of the full moon.";"N2";"円い";"円: 1"
"Heaven";"てん";"ポチは天のほしになりました。";"Pochi became a star in heaven.";"N1";"天";"天: 1"
"Heaven";"てん";"わたしがコウイチから四千えんをぬすんだことを、天のかみさまはしっかりとみていました。";"God in Heaven definitely saw me steal Koichi's 4000 yen.";"N1";"天";"天: 1"
"Heaven";"てん";"じゃんけんにかって、わたしは天にものぼるきもちだった。";"I won the rock-paper-scissors competition and I felt like I was in heaven.";"N1";"天";"天: 1"
"Genius";"てんさい";"かれはしょうぎの天才です。";"He’s a shogi genius.";"N1";"天才";"天: 1, 才: 2"
