"Meaning";"Reading";Context Sentence JP;Context Sentence EN;"JLPT (by voc lvl)";"Item";"Joyo Grade"
"To Postpone";"えんきする";"その洪水は広範囲に及ぶ被害を引き起こしたため、被害地域の高校は期末試験を一ヶ月延期した。";"Since the flood caused widespread damage, the high schools in the area postponed their final exams for another month.";"None";"延期する";"延: 6, 期: 3"
"Pleasant";"こころよい";"彼女の声は小川のせせらぎのように耳にとても快い。";"Her voice is very pleasing to the ear, like the babbling of a brook.";"N1";"快い";"快: 5"
"Pleasure, Pleasant Feeling";"かいかん";"人に恥をかかせることで快感を味合うような人にはなってもらいたくないわ。";"I don’t want you to be a person who derives pleasure from humiliating people.";"None";"快感";"快: 5, 感: 3"
"High Speed, Express";"かいそく";"コウイチは、昨晩、150キロの快速球を投げ込んで才能の違いを見せつけている夢を見た。";"Koichi dreamt last night that he showed off his talent of throwing with a 150-kilometer-per-hour fastball.";"None";"快速";"快: 5, 速: 3"
"Unpleasant, Uncomfortable";"ふかい";"上司の不快なジョークに笑いたくもないのに笑っている自分が嫌いです。";"I don’t want to laugh at my boss’s unpleasant jokes and I hate myself when I do.";"None";"不快";"不: 4, 快: 5"
"Nostalgic, Nostalgia";"なつかしい";"懐かしい曲がスピーカーから鳴り響いていました。";"A nostalgic song was echoing out of the speakers.";"N2";"懐かしい";"懐: 9"
"To Push";"おす";"すみません。今朝タイムカードを押し忘れちゃったんですが、どうすればいいですか？";"I’m sorry, I forgot to punch my timecard this morning. What should I do?";"N5";"押す";"押: 9"
"To Take A Picture, To Take A Photo, To Take A Video";"とる";"子供の幼稚園の卒園式で記念写真をたくさん撮りました。";"I took a lot of photos at my kid's kindergarten graduation ceremony.";"N5";"撮る";"撮: 9"
"To Take A Picture, To Take A Photo, To Take A Video";"とる";"マイケルは自撮りを上手に撮る方法について詳しく知っているはずです。";"Michael should know details about how to take selfies well.";"N5";"撮る";"撮: 9"
"To Take A Picture, To Take A Photo, To Take A Video";"とる";"写真を撮るために、彼は野球帽を後ろ向きに被り直した。";"He put his baseball cap on backwards to take the picture.";"N5";"撮る";"撮: 9"
"Photoshoot, Movie Shoot, Photographing, Filming";"さつえい";"お待たせして申し訳ございません。それでは、撮影を始めましょうか。";"I’m sorry to have kept you waiting. Let’s start shooting now.";"N2";"撮影";"撮: 9, 影: 9"
"Secret Photography, Secret Filming";"とうさつ";"電車内で居眠りしているところを盗撮されたんです。";"Photos were taken of me in secret while I was napping on the train.";"None";"盗撮";"盗: 9, 撮: 9"
"To Diagnose";"しんだんする";"その医者が私に癌だと診断するほんの少し前に、ある看護婦さんが私の事をちらっと振り返って見たんです。";"Right before the doctor diagnosed me with cancer, a nurse glanced over her shoulder at me.";"None";"診断する";"診: 9, 断: 5"
"Flag";"はた";"私は可愛い爪楊枝の旗を衝動買いしてしまいました。";"I bought the cute toothpick flags on impulse.";"N3";"旗";"旗: 4"
"White Flag";"しろはた, はっき, しらはた";"白旗を上げるということは、敵に降伏するということだ。";"Raising a white flag means surrendering to the enemy.";"None";"白旗";"白: 1, 旗: 4"
"National Flag";"こっき";"やっべーな。お前この巨大国旗を買ったのかよ？いったいどこに掲げるつもりなの？";"No way! You bought this huge national flag? Where the heck are you thinking of putting it up?";"None";"国旗";"国: 2, 旗: 4"
"Background";"はいけい";"トーフグの本社を背景にして写真を撮ってもらえませんか。";"Could you take my picture with the Tofugu headquarters in the background?";"N1";"背景";"背: 6, 景: 4"
"Furthermore, Further, Again";"さらに";"何度失敗しても更に試みるつもりです。";"No matter how many times I fail, I intend to try again.";"N3";"更に";"更: 9"
"Furthermore, Further, Again";"さらに";"この連続殺人事件で更に被害者が出てしまった。";"Further victims are being found in this serial murder incident.";"N3";"更に";"更: 9"
"Furthermore, Further, Again";"さらに";"留学後、更に英語を上達させるには、ネイティブスピーカーと喋り続ける必要があります。";"After studying abroad you need to continue speaking to native speakers to further improve your English.";"N3";"更に";"更: 9"
"Rebirth, Resuscitation, Rehabilitation";"こうせい";"彼女は自分の息子は更生の見込みがあると信じている。";"She believes that there is hope of rehabilitation for her son.";"None";"更生";"更: 9, 生: 1"
"Renewal, Update";"こうしん";"先方は、いくつかの修正を伴う契約更新を提案してきているんだが、あまり気が進まないんだよね。";"They are proposing an updated contract with several alterations, but I’m still reluctant.";"None";"更新";"更: 9, 新: 2"
"Alteration, Change";"へんこう";"上司に、もっとお互いのメリットを強調するような企画書に変更するように言われました。";"My boss told me to alter the business proposal so that it emphasized the mutual benefits more.";"N3";"変更";"変: 4, 更: 9"
"Pillow";"まくら";"結局夫のために高い枕を買うはめになりました。";"I ended up buying an expensive pillow for my husband.";"N2";"枕";"枕: 9"
"To Float";"うく";"スイカも南瓜も水に浮く。";"Watermelons and pumpkins float in water.";"N2";"浮く";"浮: 9"
"Ukiyo-e, Ukiyo-e Woodblock Print, Ukiyo-e Painting";"うきよえ";"その浮世絵についてお話をしませんか？";"Why don’t we talk about the ukiyo-e?";"None";"浮世絵";"浮: 9, 世: 3, 絵: 2"
"Affair, Infidelity";"うわき";"「彼は浮気をして、それを携帯電話を持っていないあなたのせいにしたってこと？」「要約するとそんなところね。」";"""So he had an affair and then blamed it on you for not having a cellphone?"" ""That about sums it up.""";"N1";"浮気";"浮: 9, 気: 1"
"To Become Thirsty, To Be Thirsty, To Become Dry";"かわく";"まだ三分しか運動してないのに喉が渇いてきました。";"I've only been exercising for three minutes, but I'm already thirsty.";"N2";"渇く";"渇: 9"
"To Become Thirsty, To Be Thirsty, To Become Dry";"かわく";"乾季なのでどこもかしこも地面が渇いている。";"It's the dry season, so the ground is really dry everywhere.";"N2";"渇く";"渇: 9"
"To Become Thirsty, To Be Thirsty, To Become Dry";"かわく";"ええっと、喉がカラカラに渇いてたから、ビールを飲み過ぎちゃったんだよね。俺は今、ベロベロだ〜。";"Well, I was really thirsty so I drank too much beer. I’m drunk~";"N2";"渇く";"渇: 9"
"Water Leakage";"ろうすい";"どんなに値段が高くても、その漏水検出器を買うべきだと思います。";"No matter how expensive it is, we should buy the water leakage sensor.";"None";"漏水";"漏: 9, 水: 1"
"Leak";"ろうしゅつ";"﻿全壊したビルからガスが漏出して危険だから近寄らないように。";"Gas is leaking from the totally destroyed building and it's dangerous, so don't get near.";"None";"漏出";"漏: 9, 出: 1"
"Leak";"ろうしゅつ";"トーフグの機密情報が漏出してしまったようです。";"It appears that confidential information about Tofugu has been leaked.";"None";"漏出";"漏: 9, 出: 1"
"Leak";"ろうしゅつ";"原油の海への漏出事故を防ぐために、どんな手段を講じていますか。";"What kind of measures does your company take to prevent accidental leakage of crude oil into the sea?";"None";"漏出";"漏: 9, 出: 1"
"To Leak, To Leak Out";"もれる";"ねえ、なんかガスが漏れてる臭いがしない？";"Hey, doesn’t it smell like leaking gas?";"N1";"漏れる";"漏: 9"
"To Illuminate";"てらす";"ちょっと懐中電灯であそこの方を照らしてくれない？";"Can you shine the flashlight over there for a moment?";"N2";"照らす";"照: 4"
"To Feel Embarrassed, To Be Shy, To Be Embarrassed, To Feel Shy";"てれる";"えっ、有り難う。照れるなぁ。";"Oh, thank you. I’m blushing!";"None";"照れる";"照: 4"
"Illumination, Lighting";"しょうめい";"照明器具の周りを蠅が2-3匹ブンブン飛び交っている。";"A couple of flies are buzzing around the lighting equipment.";"N1";"照明";"照: 4, 明: 2"
"Publishing";"しゅっぱん";"その本を出版するのに二年もかかりました。";"It took me two years to publish the book.";"N3";"出版";"出: 1, 版: 5"
"Copyright";"はんけん";"この手紙には、版権に関する契約更新予定日が記載されています。";"This letter states the possible contract renewal date for the copyright.";"None";"版権";"版: 5, 権: 6"
"First Edition";"しょはん";"彼の小説の初版は半年で売り切れた。";"The first edition of his novel sold out in six months.";"N1";"初版";"初: 4, 版: 5"
"To Steal";"ぬすむ";"あいつは絶対に中途半端なことはしない奴だから、3106カラットのダイヤモンドを盗むための壮大な計画を立てているに違いない。";"He’s the kind of guy who never does something halfway, so he must have a magnificent plan to steal the 3106 carat diamond.";"N4";"盗む";"盗: 9"
"Burglary, Robbery, Burglar, Robber";"ごうとう";"銀行強盗をやってみないか？今を逃がすと一生ないよ。";" Do you want to rob a bank? It’s now or never.";"N3";"強盗";"強: 2, 盗: 9"
"Plagiarism";"とうさく";"他人の作品をパクったら、盗作で訴えられるかもしれないよ。";"If you stole someone else’s work, you could be sued for plagiarism.";"None";"盗作";"盗: 9, 作: 2"
"Stolen Goods, Stolen Items";"とうひん";"ここではみんな盗品を売ってるので、「泥棒市場」と呼ばれています。";"People sell stolen goods here, so it’s called ""thieves’ market.""";"None";"盗品";"盗: 9, 品: 3"
"Kindergarten";"ようちえん";"幼稚園のクリスマス会のスケジュールをまた微調整しなくちゃいけないかもしれないの。";"We might have to make another small adjustment to the kindergarten Christmas party schedule.";"N2";"幼稚園";"幼: 6, 稚: 9, 園: 2"
"Ticket";"きっぷ";"そのツアーの切符は、現地で購入することもできます。";"You can buy tickets for that tour on site.";"N5";"切符";"切: 2, 符: 9"
"With All One's Might, With All Your Might";"せいいっぱい";"今は古い写真を捨てることが私にできる精一杯です。";"Getting rid of old pictures is the best I can do for now.";"None";"精一杯";"精: 5, 一: 1, 杯: 9"
"Spiritual, Mental, Emotional";"せいしんてき";"精神的に病んでいた時、毎日一人で公園をブラブラしていました。";"When I was mentally troubled, I was wandering aimlessly around the park alone every day.";"None";"精神的";"精: 5, 神: 3, 的: 4"
"Mental Illness, Mental Disorder";"せいしんびょう";"僕の友達は精神病で頭が少しイッちゃてるけど、良い人だよ。";"My friend is kind of messed up in the head from some type of mental illness, but he’s a nice guy.";"None";"精神病";"精: 5, 神: 3, 病: 3"
"Tribe, Lineage, Group";"けい";"私、アキバ系のオタッキーな男性に何故か魅力を感じるんだよね。";"Somehow I’m attracted to Akihabara style, nerdy men.";"None";"〜系";"系: 6"
"Japanese Descent, Of Japanese Descent";"にっけい";"私の妻は日系アメリカ人の三世です。";"My wife is a third generation American of Japanese descent.";"None";"日系";"日: 1, 系: 6"
"Solar System";"たいようけい";"太陽系には惑星はいくつあるんだっけ？";"How many planets does the solar system have?";"None";"太陽系";"太: 2, 陽: 3, 系: 6"
"Systematic";"たいけいてき";"私達は、体系的な日本語学習教材を提供しています。";"We are offering systematic Japanese learning material.";"None";"体系的";"体: 2, 系: 6, 的: 4"
"To Die Out, To End, To Be Cut Off";"たえる";"電気や水が絶えることなく供給されているのはとてもありがたいことです。";"We are very grateful for the uninterrupted supply of electricity and water.";"N1";"絶える";"絶: 5"
"To Die Out, To End, To Be Cut Off";"たえる";"悲しいけど、コウイチの命はここで絶えてしまったんだ。";"It's sad, but Koichi's life has ended here.";"N1";"絶える";"絶: 5"
"To Die Out, To End, To Be Cut Off";"たえる";"トーフグメンバーが笑い茸と呼ばれるキノコを食べてからというもの、トーフグのオフィスでは、笑いが絶えることはない。";"Since Tofugu members ate a mushroom called ""panaeolus papilionaceus,"" there has been no end to the laughter in the Tofugu office.";"N1";"絶える";"絶: 5"
"The Next Day, Next Day, The Following Day";"よくじつ";"列車は翌日平常運転に戻りました。";"The railroad service went back to normal the next day.";"None";"翌日";"翌: 6, 日: 1"
"The Next Month, Next Month, The Following Month";"よくげつ";"彼は翌月黄色いドアがある小さな家に引っ越しています。";"He is moving to the small house with the yellow door next month.";"None";"翌月";"翌: 6, 月: 1"
"The Next Morning, Next Morning, The Following Morning";"よくあさ, よくちょう";"申し訳ありませんが、お客様の足つぼマッサージのご予約は、本日の夜9時から翌朝9時30分にご変更されております。";"I’m afraid that your 9:00 p.m. foot-pressure massage has been pushed back to 9:30 tomorrow morning.";"None";"翌朝";"翌: 6, 朝: 2"
"The Next Year, Next Year, The Following Year";"よくねん, よくとし";"翌年彼は起業しました。";"He started his business the next year.";"None";"翌年";"翌: 6, 年: 1"
"Height, Back, Spine";"せ";"紫色のドレスを着ている背の高い女性は、あなたのご友人ですか？";"Is your friend the tall woman in the purple dress?";"N3";"背";"背: 6"
"A Look, A Glance, List, Table";"いちらん";"連絡先の一覧から中々上司の名前が見つからないんだけど。";"I’m struggling to find my boss’s name on my contact list.";"None";"一覧";"一: 1, 覧: 6"
"Look At, See";"ごらん";"娘さんの試験の結果はもうご覧になられましたか。";"Have you seen your daughter’s examination results yet?";"None";"ご覧";"覧: 6"
"Viewing, Seeing";"かんらん";"トーフグテレビの撮影現場を観覧しました。";"I watched the TofuguTV shooting.";"N1";"観覧";"観: 4, 覧: 6"
"Poor";"まずしい";"もしまた貧しい環境に陥ったとしても、また億万長者になれるように努力すると思います。";"Even if I went back to being poor again, I’d probably still work hard to become a billionaire. ";"N3";"貧しい";"貧: 5"
"Poor, Poverty";"びんぼう";"サーモンって本当に物欲が強い女性だよね。フグが言ってるほどお金持って無いって知った途端、彼のこと貧乏って呼んで、振っちゃったんだもんね。";"Salmon is a really materialistic girl. When she found out that Fugu didn’t have as much money as he said he did, she called him poor and left him.";"N1";"貧乏";"貧: 5, 乏: 9"
"Purchase";"こうにゅう";"この店で偽のシャネルN°5を購入しました。";"This is the store where I bought the fake Chanel Number 5.";"N1";"購入";"購: 9, 入: 1"
"Purchasing";"こうばい";"私は消費者の購買意欲について研究をしています。";"I’m researching customers’ purchasing motivations.";"N1";"購買";"購: 9, 買: 2"
"Subscription";"こうどく";"全アメリカ人がトーフグのニュースレターを購読しているという噂が、日本中に広まった。";"The rumor that all American people subscribe to the Tofugu newsletter spread throughout Japan.";"N1";"購読";"購: 9, 読: 2"
"To Go Beyond, To Cross Over";"こえる";"日本語では、線路は続くよどこまでもの歌は、「線路は続くよどこまでも、野を越え山越え谷越え」という感じで始まります。";"In Japanese, the song ""I’ve Been Working on the Railroad"" begins with, ""the railroad continues forever, over fields, mountains, and valleys.""";"N3";"越える";"越: 9"
"Overstepping Your Authority, Overstep One's Authority, Overstepping One's Authority";"えっけん";"お巡りさん、差し出がましいようですがそれは越権行為では無いでしょうか。";"Officer, I’m afraid you are overstepping your bounds.";"None";"越権";"越: 9, 権: 6"
"Upside Down";"さかさま";"どうして蝶々を逆さまに描いたの？";"Why did you draw the butterfly upside down?";"None";"逆さま";"逆: 5"
"To Play";"あそぶ";"「宿題が済むまで、外で遊んじゃだめだからね。」「言われなくても分かってるよ！」";"""You can’t play outdoors until you finish your homework."" ""You don’t have to tell me, I know!""";"N5";"遊ぶ";"遊: 3"
"Amusement Park, Theme Park";"ゆうえんち";"「スカイダイビングをして、その後遊園地に行くんだけど、一緒に行かない？」「えーっ、絶対に嫌！」";"""I am going to go skydiving then afterwards go to a theme park. You want to join me?"" ""What? Absolutely not!""";"N2";"遊園地";"遊: 3, 園: 2, 地: 2"
"Appropriate, Proper, Suitable, Irresponsible";"てきとう";"適当な答えを選んでください。";"Please choose the appropriate answer.";"N4";"適当";"適: 5, 当: 2"
"Appropriate, Proper, Suitable, Irresponsible";"てきとう";"あいつは適当な事ばかり言っている。";"That guy often says irresponsible things.";"N4";"適当";"適: 5, 当: 2"
"Appropriate, Proper, Suitable, Irresponsible";"てきとう";"居酒屋で、同僚が店員に「適当にお願いします」と言って注文をしたことに驚きました。";"I was surprised when my colleague was ordering in an izakaya and said to the waitress: ""Choose whatever you think is best"".";"N4";"適当";"適: 5, 当: 2"
"Unsuitable, Inappropriate";"ふてき";"この職が私にとって適不適かを考えているんですが、まだ答えは出ていません。";"I’ve been thinking about whether this job suits me or not, but I haven’t found the answer yet.";"None";"不適";"不: 4, 適: 5"
"To Register";"とうろくする";"臓器提供者として登録をしたきっかけは何ですか。";"What motivated you to register yourself as an organ donor?";"None";"登録する";"登: 3, 録: 4"
"To Deposit, To Entrust, To Leave Something With Someone";"あずける";"え？今、いくら預けたって言った？";"What? You deposited how much?";"N3";"預ける";"預: 5"
"Bank Deposit, Deposit, Bank Account";"よきん";"彼は帆立の養殖で稼いだ金は全て預金している。";"He deposits all the money he earns from raising scallops.";"N1";"預金";"預: 5, 金: 1"
"To Decorate";"かざる";"クリスマスツリーの飾り付けをするのが好きです。今年はツリーを暖炉の横に飾りました。";"I like decorating the Christmas tree. I put it beside our fireplace this year.";"N4";"飾る";"飾: 9"
"Attire, Fashion, Clothing";"ふくしょく";"私は服飾専門学校を卒業しました。";"I graduated from a fashion technical school.";"None";"服飾";"服: 3, 飾: 9"
"Attire, Fashion, Clothing";"ふくしょく";"今の服飾の仕事は、遊び半分でしてるんですよ。";"I'm working in the clothing business now, mostly for fun.";"None";"服飾";"服: 3, 飾: 9"
"Attire, Fashion, Clothing";"ふくしょく";"コイツ、今、服飾の専門学生と付き合ってるんだよ。";"That guy's dating a fashion student.";"None";"服飾";"服: 3, 飾: 9"
"Decorative Lighting";"でんしょく";"省エネのために電飾にOAタップを使ってるって聞いたんだけど、タコ足配線にするのは危ないわよ。";"I heard that you use power strips for decorative lighting to eliminate wasted energy, but you might overload the circuits so it’s dangerous.";"None";"電飾";"電: 2, 飾: 9"
"To Make Noise, To Be Boisterous, To Make A Fuss";"さわぐ";"騒ぐな！死にたいのか？死にたくなけりゃ黙ってろ。";"Don’t make so much noise! Do you wanna be killed? If not, just shut up.";"N4";"騒ぐ";"騒: 9"
"Noise, Din";"そうおん";"騒音問題について、お隣さんにどうやって切り出したらいいんだろう。";"How should I approach my neighbor about a noise problem?";"N3";"騒音";"騒: 9, 音: 1"
"Airplane Ticket, Plane Ticket";"こうくうけん";"博多までの航空券を手配してもらえますか。";"Could you arrange a flight for me to Hakata?";"None";"航空券";"航: 4, 空: 1, 券: 5"
"To Attack";"こうげきする";"「コウイチ！怒り狂ったライオンの群れが俺たちの町に向かって突撃してくるよ。俺たち、もうすぐ攻撃されちまうよ。どうしたらいいんだ？」「心配するな。俺に任せとけ。」";"""Koichi! There’s a pride of raging lions charging toward our town! They are going to attack us very soon. What do we do?"" ""Don’t worry. Leave it to me.""";"None";"攻撃する";"攻: 9, 撃: 9"
"A While Ago";"さきほど";"先程あなたからの手紙を読ませて頂きました。";"I read the letter from you some time ago.";"N2";"先程";"先: 1, 程: 5"
"Bureaucratic";"かんりょうてき";"この会社では官僚的な形式主義がまかり通りすぎている。";"There’s too much bureaucratic red tape in this company.";"None";"官僚的";"官: 4, 僚: 9, 的: 4"
"Stuffy Nose, Blocked Nose";"はなづまり";"私は高熱と鼻詰まりに苦しんでいます。";"I’m suffering from a terrible fever and stuffy nose.";"None";"鼻詰まり";"鼻: 3, 詰: 9"
"To Brood, To Think Hard, To Worry";"おもいつめる";"私は失業中ですが、そのことを思い詰めてはいません。";"I’m between jobs, but I’m not worrying too much about it.";"None";"思い詰める";"思: 2, 詰: 9"
"To Stare At";"みつめる";"その犬は、真っすぐ上へ上へと飛んで行く風船をじっと見詰めていた。";"The dog was motionlessly staring at the balloon flying straight up, higher and higher.";"None";"見詰める";"見: 1, 詰: 9"
"Male Dog";"おすいぬ";"こちらの商品は、雄犬専用のトイレになります。";"This product is a toilet for male dogs only.";"None";"雄犬";"雄: 9, 犬: 1"
"Male Dog";"おすいぬ";"あそこの動物病院、大型の雄犬の去勢手は三万円ぐらいだったはず。";"I believe the cost of neutering a large male dog at that veterinary clinic was around 30,000 yen.";"None";"雄犬";"雄: 9, 犬: 1"
"Male Dog";"おすいぬ";"脱走していた雄犬が、先程無事に保護されました｡";"The male dog that had escaped has just been safely captured.";"None";"雄犬";"雄: 9, 犬: 1"
"To Kill Off, To Let Die Out";"たやす";"夜の間、火を絶やさないように気をつけるんだぞ。";"Make sure the fire doesn’t go out during the night.";"None";"絶やす";"絶: 5"
"To Stress, To Stress Out, To Be Nervous";"きんちょうする";"赤ちゃんが逆子で産まれてくるって分かってたので、出産時は緊張しました。";"I was nervous during delivery because I knew my baby was going to be a breech birth.";"None";"緊張する";"緊: 9, 張: 5"
"Fusion";"ゆうごう";"俺たちのバンドは、ジャズとロックが融合した音楽を演奏しています。";"Our band plays music that is a fusion of jazz and rock.";"None";"融合";"融: 9, 合: 2"
"Financing, Loan";"ゆうし";"銀行の融資を受けるのは思っていたよりも難しかったです。";"Getting a bank loan was more difficult than I thought.";"N1";"融資";"融: 9, 資: 5"
