"Meaning";"Reading";Context Sentence JP;Context Sentence EN;"JLPT (by voc lvl)";"Item";"Joyo Grade"
"Hospital";"びょういん";"この病院の院長は、九九もできない。";"The head of this hospital can't even do his multiplication tables.";"N5";"病院";"病: 3, 院: 3"
"Hospital";"びょういん";"この病院で医者をすることには本当に嫌気が差すね。患者は馬鹿ばっかりなんだ。";"I hate being a doctor in this hospital. The patients are all idiots.";"N5";"病院";"病: 3, 院: 3"
"Academy, Institute";"がくいん";"2014年に、トーフグ学院をそつぎょうしました。";"I graduated from Tofugu Academy in 2014.";"None";"学院";"学: 1, 院: 3"
"Academy, Institute";"がくいん";"かん西学院大学の多くの学生はざい学中にりゅう学をけいけんします。";"Many students from Kwansei Gakuin University get to study abroad while at college.";"None";"学院";"学: 1, 院: 3"
"Academy, Institute";"がくいん";"やあ！こいつはワニカニ。あだ名はクラビゲーターだよ。トーフグ工業学院で働いてるんだ。";"Hey! This guy is WaniKani, a.k.a. the Crabigator. He works for Tofugu Institute for Industrial Education.";"None";"学院";"学: 1, 院: 3"
"To End, To Be Over";"おわる";"学校が終わったら、買い物に行きます。";"When school's finished, I'll go shopping.";"N1";"終わる";"終: 3"
"To End, To Be Over";"おわる";"ギャンブルにまけて人生終わってしまった。";"My life was over when I lost it all gambling.";"N1";"終わる";"終: 3"
"To End, To Be Over";"おわる";"おい、こら！引っ込んでろ！原子爆弾の解体が終わるまでは、私に近づくなと言っただろ。";"Hey, man! Back off! I told you to stay away from me until the atomic bomb has finished being dismantled.";"N1";"終わる";"終: 3"
"Last Stop, Final Stop, Terminus";"しゅうてん";"電車でばくすいしてしまって、終点でうん転手さんに起こされたことはよくありますね。";"I often fall asleep on the train and have to be woken up by the driver at the last stop.";"N2";"終点";"終: 3, 点: 2"
"Last Stop, Final Stop, Terminus";"しゅうてん";"このシカゴ発のアムトラックの終点の駅は何て言う名前ですか。";"What's the name of the last stop on the Amtrak leaving from Chicago?";"N2";"終点";"終: 3, 点: 2"
"Last Stop, Final Stop, Terminus";"しゅうてん";"お願いがあるの。私がたとえ何と言っても、何をしようとも、終点に着くまで私が電車から降りないようにして。分かった？";"You have to do me a favor. No matter what I say, no matter what I do, please do not let me get out of the train until it gets to the last stop. Okay?";"N2";"終点";"終: 3, 点: 2"
"End, Finish, Close";"しゅうりょう";"大さか公えん1日目終了しました！";"The first day of the Osaka performance has ended!";"N2";"終了";"終: 3, 了: 9"
"End, Finish, Close";"しゅうりょう";"主人公が死んでゲームが終了してしまいました。";"The main character died and the game was over.";"N2";"終了";"終: 3, 了: 9"
"End, Finish, Close";"しゅうりょう";"「もし私がまたデブになったらどうする？」 「まぁ、俺達の関係が終了しないのは確実だね。」";"""What if I got fat again? "" ""Well, our relationship wouldn’t end, that’s for sure.""";"N2";"終了";"終: 3, 了: 9"
"Last, Final, The Last, The Final";"さいしゅう";"大すきなドラマの最終回を見のがして泣いた。";"I missed the last part of my favorite drama and cried.";"N3";"最終";"最: 4, 終: 3"
"Last, Final, The Last, The Final";"さいしゅう";"今乗ってきた電車が最終だったから、もうかえれないよ。";"The train we just took was the last one of the day, so we can't go back anymore.";"N3";"最終";"最: 4, 終: 3"
"Last, Final, The Last, The Final";"さいしゅう";"これが我が社の最終提案です。後はあなたの決断次第です。";"This is our final offer. Now the ball is in your court.";"N3";"最終";"最: 4, 終: 3"
"To Learn, To Take Lessons In";"ならう";"日本に来てから、日本語を習いました。";"I’ve learned Japanese since coming to Japan.";"N5";"習う";"習: 3"
"To Learn, To Take Lessons In";"ならう";"姉は、ピアノを習っています。";"My older sister is taking piano lessons.";"N5";"習う";"習: 3"
"To Learn, To Take Lessons In";"ならう";"今日は、世界一のフグクッキーの作り方を習いに行くのよ。";"I’m going to learn how to make the world’s best fugu cookies today.";"N5";"習う";"習: 3"
"To Roll, To Tumble, To Lie Down, To Be Scattered About";"ころがる";"あんたのけいたいなら、その辺に転がってたわよ。";"Your cell phone was left somewhere around here.";"N2";"転がる";"転: 3"
"To Roll, To Tumble, To Lie Down, To Be Scattered About";"ころがる";"ダリンは、トーフグオフィスの前にフグの死体が転がっているのを発見しました。";"Darin discovered the dead body of a blowfish, lying in front of the Tofugu office.";"N2";"転がる";"転: 3"
"To Roll, To Tumble, To Lie Down, To Be Scattered About";"ころがる";"転がる石？イギリスのロックバンド、ザ・ローリング・ストーンズのことですか？";"A rolling stone? Do you mean the English rock band The Rolling Stones?";"N2";"転がる";"転: 3"
"Bicycle, Bike, Pushbike";"じてんしゃ";"わたしは自転車で会社に行っています。";"I go to work by bike.";"N5";"自転車";"自: 2, 転: 3, 車: 1"
"Bicycle, Bike, Pushbike";"じてんしゃ";"自転車を買ってあげるよ。お返しは要らないからね！";"I'll buy you a new bicycle, no strings attached. ";"N5";"自転車";"自: 2, 転: 3, 車: 1"
"Bicycle, Bike, Pushbike";"じてんしゃ";"「ごめん。てっきり君が僕の自転車を壊したのかと思ってたよ。」 「何それ！ひどい。私がそんなことするはずないでしょ。」";"""I’m sorry. I thought for sure you were the one who broke my bike."" ""What? That’s awful. You know me better than that.""";"N5";"自転車";"自: 2, 転: 3, 車: 1"
"To Drive";"うんてんする";"休日には、とくにあてもなく運転するのがすきなんだ。";"I really like driving around aimlessly when I’m on holiday.";"None";"運転する";"運: 3, 転: 3"
"To Drive";"うんてんする";"運転する時は、ぜっ対に後ろはふり返りません。サメと同じで、前しか見ないんです。";"I never look back when I drive. I'm like a shark—only looking forward.";"None";"運転する";"運: 3, 転: 3"
"To Drive";"うんてんする";"このフグモデルの車は最高だね！とても気に入ったよ。毎日運転するのが待ち遠しいよ。";"This Fugu model car is amazing! I love it! I can’t wait to start driving it every day.";"None";"運転する";"運: 3, 転: 3"
"Transfer, Forwarding";"てんそう";"そのメール、私にも転送してくれない？";"Could you forward that email to me?";"None";"転送";"転: 3, 送: 3"
"Transfer, Forwarding";"てんそう";"海外に住んでいる日本人は、よく日本のウェブサイトから物を買って、海外の住所に転送しています。";"Japanese people who reside overseas often buy things from Japanese websites and have them forwarded to the foreign addresses.";"None";"転送";"転: 3, 送: 3"
"Transfer, Forwarding";"てんそう";"郵便物をこちら住所の方へ転送して頂きたいんですが。";"Could you please forward my mail to this address?";"None";"転送";"転: 3, 送: 3"
"Revolve, Rotate, Rotation";"かいてん";"ペットのハムスターがものすごいいきおいで回し車を回転させています。";"My pet hamster is vigorously rotating his hamster wheel.";"N2";"回転";"回: 2, 転: 3"
"Revolve, Rotate, Rotation";"かいてん";"あそこの回転ずし、もう行った？なんか、そこのすししょく人は皿がきらいらしく、すしが回転してあつくなってるコンベアベルトの上に直でおかれているらしいよ。";"Have you been to the conveyer belt sushi restaurant over there? Apparently their sushi chefs hate plates there, so the sushi is directly on the rotating, hot conveyor belt.";"N2";"回転";"回: 2, 転: 3"
"Revolve, Rotate, Rotation";"かいてん";"月は地球の周り回転していて、地球は太陽の周りを回転している。";"The moon revolves around the earth and the earth revolves around the sun.";"N2";"回転";"回: 2, 転: 3"
"To Advance, To Go Forward, To Progress";"すすむ";"仕事は進んでいますか？";"Are you making any progress in your work?";"N4";"進む";"進: 3"
"To Advance, To Go Forward, To Progress";"すすむ";"トーフグは、いつも一歩先を進んでいるよね。";"Tofugu always goes one step ahead, doesn't it?";"N4";"進む";"進: 3"
"To Advance, To Go Forward, To Progress";"すすむ";"お嬢さんは他の学生よりずっと進んでいる。";"Your daughter is advancing faster than the other students.";"N4";"進む";"進: 3"
"Evolution, Progress";"しんか";"日に日に進化してるのが実かんできて、うれしいです。";"I’m glad I’m able to recognize how much I progress every day.";"N1";"進化";"進: 3, 化: 3"
"Evolution, Progress";"しんか";"みなさんのおかげで、トーフグは大きな進化をとげることができました。";"Thanks to you all, Tofugu made such tremendous progress.";"N1";"進化";"進: 3, 化: 3"
"Evolution, Progress";"しんか";"おい、お前って本当に阿呆だな。ダーウィンの進化論はディズニー映画のタイトルなんかじゃねえよ。";"Jeez, you’re really dumb. Darwin’s theory of evolution is not the title of a Disney movie.";"N1";"進化";"進: 3, 化: 3"
"Advance, Progress";"しんこう";"げんざい、六つのプロジェクトが進行中です。";"Six projects are currently progressing.";"N1";"進行";"進: 3, 行: 2"
"Advance, Progress";"しんこう";"おいしゃさんに、進行がんがあると言われました。";"The doctor told me that I have advanced cancer.";"N1";"進行";"進: 3, 行: 2"
"Advance, Progress";"しんこう";"フグエキスから作られた新しい薬がその病気の進行を抑えた。";"The new drug made from Fugu extract has suppressed the progression of the disease.";"N1";"進行";"進: 3, 行: 2"
"To Fall Down, To Fall, To Drop, To Fail";"おちる";"あなたのけしゴム、つくえの下に落ちていますよ。";"Your eraser fell under the desk.";"N1";"落ちる";"落: 3"
"To Fall Down, To Fall, To Drop, To Fail";"おちる";"しけんに落ちた日に、ひろうから、はがぬけ落ちました。";"On the day I failed the exam, I dropped my teeth from exhaustion.";"N1";"落ちる";"落: 3"
"To Fall Down, To Fall, To Drop, To Fail";"おちる";"「何してるの？私も入れて？」「本当？俺たち、ステアフォールっていう、棒人間がひたすら階段から落ちるゲームをしてるんだけど。」「おもしろそうじゃん。」";"""What are you guys playing? Let me in!"" ""Really? We’re playing a game called Stair Fall where a stickman just keeps falling down the stairs."" ""Sounds fun!""";"N1";"落ちる";"落: 3"
"Fresh Leaves, Greenery, Young Leaves";"あおば";"青葉が目にしみるきせつとなりました。";"It's that time of year again when the fresh leaves make my eyes burn.";"None";"青葉";"青: 1, 葉: 3"
"Fresh Leaves, Greenery, Young Leaves";"あおば";"家のにわの青葉に虫がいっぱい付いてる！";"There are a lot of bugs on the young leaves in our garden!";"None";"青葉";"青: 1, 葉: 3"
"Fresh Leaves, Greenery, Young Leaves";"あおば";"お前の頭、ちょっと変なにおいがするぞ。 乾燥した青葉か何かみたいな。";"Your head smells a little weird. It’s like dried up leaves or something.";"None";"青葉";"青: 1, 葉: 3"
"Lightweight, Light, Light Weight";"かるい";"このはこは、あのはこよりも軽い。";"This box is lighter than that one.";"N5";"軽い";"軽: 3"
"Lightweight, Light, Light Weight";"かるい";"この毛ぬき、びっくりするぐらい軽いんだけど。";"This pair of tweezers is surprisingly light.";"N5";"軽い";"軽: 3"
"Lightweight, Light, Light Weight";"かるい";"毎日軽い朝ごはんを食べる。";"Every day I eat a light breakfast.";"N5";"軽い";"軽: 3"
"To Carry, To Transport, To Move";"はこぶ";"あ、それから、つくえを運ぶのをわすれないでください。";"Oh, and don’t forget to move the desk.";"N4";"運ぶ";"運: 3"
"To Carry, To Transport, To Move";"はこぶ";"私の父親としての役目は、食べ物をテーブルに運んで、娘と一緒にお茶会をすることだ。";"My duty as a father is to put food on the table and have tea parties with my daughter.";"N4";"運ぶ";"運: 3"
"To Carry, To Transport, To Move";"はこぶ";"この教科書を運ぶための鞄がほしい。";"I want a bag to carry these textbooks.";"N4";"運ぶ";"運: 3"
"Lucky";"うんがいい";"最近みょうに運がいいんだよな。";"I’ve been really lucky lately for some reason.";"None";"運がいい";"運: 3"
"Lucky";"うんがいい";"こんな美人のよめさんもらって、お前って本当に運がいいな。";"You are so lucky to have such a beautiful wife.";"None";"運がいい";"運: 3"
"Lucky";"うんがいい";"日本語の授業でAが取れたんだけど、ただ単に運がよかっただけだと思うの。";"I got an A in Japanese, but I think I was just lucky.";"None";"運がいい";"運: 3"
"To Open Something";"あける";"日本語のじしょを開けてください。";"Please open your Japanese dictionary.";"N5";"開ける";"開: 3"
"To Open Something";"あける";"わたしのかれ氏は、車に乗る時は、いつもドアを開けてくれるよ。";"My boyfriend always opens the car door for me when I get in.";"N5";"開ける";"開: 3"
"To Open Something";"あける";"「ねぇ、このワインボトルを開けてもらえないかな？」「いいよ。朝飯前だよ。」";"""Can you open this bottle of wine for me?"" ""Of course. Piece of cake.""";"N5";"開ける";"開: 3"
"Open To The Public, Releasing";"こうかい";"どうがが公開されるのはいつですか？";"When will the video be released to the public?";"N1";"公開";"公: 2, 開: 3"
"Open To The Public, Releasing";"こうかい";"Etoeto発売を記ねんして、コウイチの半生をドキュメンタリーにしたえいがが公開になりました。";"A documentary movie of half of Koichi's life has been opened to the public to commemorate Etoeto's release.";"N1";"公開";"公: 2, 開: 3"
"Open To The Public, Releasing";"こうかい";"「この写真を公開したのは、写真より実物の花子の方がずっと可愛いんだってことをみんなに教えたかったからだよ。」「あんたって本当口からでまかせばっかりよね！」";"""I only published that picture to show people that you look much better in person, Hanako."" ""That is such a lie!""";"N1";"公開";"公: 2, 開: 3"
"Opening A Business, Starting A Business";"かいぎょう";"うちも、開業当時はしゃっ金だらけだったんだよ。";"We also had a ton of debt when we opened our business.";"None";"開業";"開: 3, 業: 3"
