"Meaning";"Reading";Context Sentence JP;Context Sentence EN;"JLPT (by voc lvl)";"Item";"Joyo Grade"
"Value, Price";"あたい";"春に桜が満開になった時のここからの眺めは、まさに価千金です。";"The view from here in the spring when the cherry blossoms are in full bloom is truly priceless.";"None";"価";"価: 5"
"Leaping, Rapid Progress";"ひやく";"彼は陰謀論が好きなんですが、彼の論理はよく飛躍するんですよね。";"He likes conspiracies, but there is often a leap in his logic.";"None";"飛躍";"飛: 4, 躍: 9"
"Rapid Progress, Great Advancement";"やくしん";"トーフグが今年、大躍進を遂げたのは何故だと思いますか。";"What do you think made Tofugu take such a big leap forward this year?";"None";"躍進";"躍: 9, 進: 3"
"Vibrancy, Dynamic Movement, Lively Motion";"やくどう";"アヤの最新のトーフグキャラのイラストは、とても躍動感に溢れています。";"Aya’s latest illustration of the Tofugu characters is very vibrant and lively.";"None";"躍動";"躍: 9, 動: 3"
"Best Regards, Well, Properly, Suitably";"よろしく";"お母様に宜しくお伝えくださいね。";"Please say thank you to your mother.";"N1";"宜しく";"宜: 9"
"Best Regards";"よろしくおねがいします";"どうして日本人はいつも「宜しくお願いします」って言うの？";"Why do Japanese people say ""please treat me well"" all the time?";"None";"宜しくお願いします";"宜: 9, 願: 4"
"To Repeat, To Repeat Over And Over";"くりかえす";"同じ失敗を何度も繰り返すのはやめようじゃないか。";"Can’t you stop repeating the same mistakes over and over?";"N3";"繰り返す";"繰: 9, 返: 3"
"To Evacuate";"ひなんする";"雨が突然降り出したので、先輩と私は桜の木の下で避難しました。";"My senior and I found shelter under a cherry blossom tree when the rain started suddenly.";"None";"避難する";"避: 9, 難: 6"
"To Lean Something, To Tilt Something";"かたむける";"みんな、コウイチの話に、一心に耳を傾けた。";"People hung on Koichi’s every word.";"N1";"傾ける";"傾: 9"
"Your Wife, Wife, Ma'am";"おくさま";"お話中恐れ入りますが、奥様がエレベーターに閉じ込められてしまったようなんです。";"I’m sorry for the interruption, but it seems that your wife’s just gotten stuck in an elevator.";"None";"奥様";"奥: 9, 様: 3"
"To Decline, To Restrain, To Refrain";"えんりょする";"明日、健康診断なので、できれば今日はお酒はご遠慮させてください。";"Tomorrow is my physical check-up, so I’d rather not have alcohol today, if that’s okay.";"None";"遠慮する";"遠: 2, 慮: 9"
"To Hang, To Depend On, To Be At Stake";"かかる";"彼の安否が気に懸かります。";"I’m worried if he is okay.";"None";"懸かる";"懸: 9"
"With All One's Might, All Out";"いっしょうけんめい";"合唱団で歌う娘の一生懸命な姿に感動しました。";"I was moved by the sight of my daughter singing in the chorus with all her might.";"N4";"一生懸命";"一: 1, 生: 1, 懸: 9, 命: 3"
"With All One's Might, All Out";"いっしょうけんめい";"ほら、みんな一生懸命がんばってるんだから、一人だけサボるなんてずるいよ。";"Look, it's unfair that you're the only one slacking off, because everyone is working so hard.";"N4";"一生懸命";"一: 1, 生: 1, 懸: 9, 命: 3"
"With All One's Might, All Out";"いっしょうけんめい";"遅れを取り戻すために一生懸命働かなくてはいけないのは分かっているんですが、中々難しいです。";"I know I have to work my hardest to catch up with everyone, but it’s difficult.";"N4";"一生懸命";"一: 1, 生: 1, 懸: 9, 命: 3"
"Handling, Treatment";"あつかい";"ワイングラスの扱いに気をつけるようにと言われた直後に、案の定一つ割ってしまった。";"Right after I was told to be careful with the wine glass, sure enough, I broke one.";"N1";"扱い";"扱: 9"
"To Manage, To Handle";"とりあつかう";"その話題については、次の記事で取り扱う予定です。";"I’m going to handle that topic in the next article.";"N1";"取り扱う";"取: 3, 扱: 9"
"To Select, To Choose";"せんたくする";"結婚相手にどちらの女性を選択するか決めましたか？";"Have you decided which girl to choose as your marriage partner?";"None";"選択する";"選: 4, 択: 9"
"To Praise, To Give Praise";"たたえる";"ワニカニのレビューを毎日していたら、先生から勤勉だと褒め称えられた。";"I was doing my Wanikani reviews every day and the teacher praised me for my diligence.";"None";"称える";"称: 9"
"Confidential Talk, Whispering";"ないしょばなし";"当人達は内緒話をしているつもりのようだが、声がでかいので全部筒抜けだよ。";"They are trying to whisper to each other, but their voices are so loud that I can hear everything.";"None";"内緒話";"内: 2, 緒: 9, 話: 2"
"To Loosen, To Relax";"ゆるめる";"どうぞネクタイをお緩めになってください。";"Please feel free to loosen your necktie.";"N1";"緩める";"緩: 9"
"A Present, Present";"おくりもの";"「これ、君への贈り物。干しふぐだよ。気に入ってもらえるといいけど。」「有難う。聞いただけで既にとっても気に入ったわ。」";"""Here’s a present for you. It’s dried Fugu. I hope you like it."" ""Thank you. Just hearing that makes me happy.""";"N4";"贈り物";"贈: 9, 物: 3"
"Funeral";"そうぎ";"中村は、葬儀に一人で行くと言って聞かなかった。";"Nakamura insisted on going to the funeral by himself.";"None";"葬儀";"葬: 9, 儀: 9"
"Okinawa Prefecture";"おきなわけん";"我々は、人々が沖縄県から去るのを食い止めた。";"We stopped everyone from leaving Okinawa Prefecture.";"None";"沖縄県";"沖: 9, 縄: 9, 県: 3"
"Bribery";"ぞうわい";"これは、ある国では「プレゼント」と呼ばれるかもしれないが、この国では「贈賄」である。";"This may be called a ""present"" in some countries, but in this country it's ""bribery.""";"None";"贈賄";"贈: 9, 賄: 9"
"To Miss, To Lose, To Let Go";"のがす";"恋愛のチャンスは逃さないよ！";"I'll never miss a chance to fall in love!";"N1";"逃す";"逃: 9"
"To Miss, To Lose, To Let Go";"のがす";"主人がクシャミをしたので、シャッターチャンスを逃してしまいました。";"I missed the perfect shot when my husband sneezed.";"N1";"逃す";"逃: 9"
"To Miss, To Lose, To Let Go";"のがす";"ボーっとしていて、アナウンスを聞き逃してしまった。";"I was out of it and missed the announcement.";"N1";"逃す";"逃: 9"
"Fugitive, Runaway";"とうぼうしゃ";"逃亡者は逃走中に病気の子どもに会い、自首を決意したそうです。";"I hear that the fugitive met a sick child while he was running away and decided to turn himself in.";"None";"逃亡者";"逃: 9, 亡: 6, 者: 3"
"Advisor";"こもん";"明日、部活を休んでもいいかどうか、顧問の先生に聞いてみたら？";"Why don't you ask your advisor if it's okay for you to miss club activities tomorrow?";"None";"顧問";"顧: 9, 問: 3"
"Advisor";"こもん";"自分からやりたいと言ったわけではなくて、その会社の顧問をしてほしいと頼まれたんですよ。";"I didn't say I wanted to do it, but I was asked to be an advisor to that company.";"None";"顧問";"顧: 9, 問: 3"
"Advisor";"こもん";"彼は良いバスケ部の顧問だとの評判があります。";"Rumor has it, he’s a good advisor for the basketball club.";"None";"顧問";"顧: 9, 問: 3"
"To Look Back On Something, To Reflect On Something, To Be Attentive To Someone";"かえりみる";"過去を顧みることも大切だけど、未来のことを考える方がもっと大切だと思うんだ。";"It's important to reflect on the past, but I think it's even more important to think about the future.";"N1";"顧みる";"顧: 9"
"To Look Back On Something, To Reflect On Something, To Be Attentive To Someone";"かえりみる";"子どものころを顧みると、よくあんなに後先を顧みず色んなことをしたもんだと我ながら驚くよ。";"When I look back on my childhood, I'm amazed at how I could do so many things without reflecting on the consequences.";"N1";"顧みる";"顧: 9"
"To Look Back On Something, To Reflect On Something, To Be Attentive To Someone";"かえりみる";"あなた、我が子のことをもう少し顧みてあげてくれませんか。";"Honey, can’t you be a little more attentive to your own child?";"N1";"顧みる";"顧: 9"
"Memoirs, Reminiscences";"かいころく";"なんてつまらない回顧録なんだ。";"This is such a boring memoir.";"None";"回顧録";"回: 2, 顧: 9, 録: 4"
"Resident Of Japan, Stationed In Japan";"ちゅうにち";"今夜は駐日アメリカ大使主催のパーティーに行かなくちゃいけないんです。";"I have to go to a party tonight that is hosted by the U.S. Ambassador to Japan.";"None";"駐日";"駐: 9, 日: 1"
"Residence, Stay";"ちゅうざい";"海外駐在員と一緒に外国に来ている妻は、駐在さんと呼ばれることがある。";"A wife of an expatriate employee who came abroad with him is sometimes called Mrs. Expatriate.";"None";"駐在";"駐: 9, 在: 5"
"Parking Lot";"ちゅうしゃじょう";"ショッピングモールの駐車場で渋滞に巻き込まれちゃってるよ。クリスマス前の日曜日なんかに、こんなところに来るんじゃなかったよ。";"I’m stuck in a traffic jam in a parking lot at the mall. I shouldn’t have come here on the Sunday before Christmas.";"N4";"駐車場";"駐: 9, 車: 1, 場: 2"
"Stationed Troops, Occupying Troops";"ちゅうりゅうぐん";"駐留軍向けの洗濯サービスとかはありますか？";"Is there a laundry service for the stationed troops?";"None";"駐留軍";"駐: 9, 留: 5, 軍: 4"
"To Gallop, To Drive";"かける";"先生が腕を組んだまま廊下を駆けて行くのを見て、大笑いしました。";"We burst out laughing when we saw the teacher dashing down the hallway with his arms folded.";"N1";"駆ける";"駆: 9"
"Pillar";"はしら";"そのスーパーで買い物をしてる間、私は犬を柱に繋ぐんですが、いつもちゃんと大人しく待ってますよ。";"While shopping in the grocery store, I tether my dog to a pole and he always waits for me obediently.";"N1";"柱";"柱: 3"
"Telephone Pole";"でんちゅう";"今日車を電柱にぶつけちゃったんだよね。";"I ran my car into a telephone pole today.";"N2";"電柱";"電: 2, 柱: 3"
"To Chant";"となえる";"背の高い魔法使いが呪文を唱えると、辺りは一瞬真っ暗になった。";"When the tall wizard uttered the magic word, there was a moment of total darkness.";"N1";"唱える";"唱: 4"
"Advocate";"しゅしょう";"ベーコンの平和を唱える主唱者にお会いすることはできますか？";"Could I meet the leading advocate of Bacon Peace?";"None";"主唱";"主: 3, 唱: 4"
"Singing, Songs";"しょうか";"愛国唱歌は聴きたくないね。";"I don’t want to listen to the patriotic school song.";"None";"唱歌";"唱: 4, 歌: 2"
"Solo";"どくしょう";"花粉症なのに、発表会で独唱しなくちゃいけないんです。";"Even though I have hay fever, I have to do a solo in the recital.";"None";"独唱";"独: 5, 唱: 4"
"Singing, Song";"かしょう";"あなたの歌唱力をみんなに見せつけるために、このビデオをFacebookに投稿してもいいですか？";"Can I post this video on Facebook to show everyone your skills as a singer?";"None";"歌唱";"歌: 2, 唱: 4"
"Chorus, Choir";"がっしょうだん";"合唱団員は、みんなで手を繋いで歌っています。";"The members of the choir are all singing hand in hand.";"None";"合唱団";"合: 2, 唱: 4, 団: 5"
"Filial Piety";"こうこう";"女房が死ぬ前に、もっと孝行しておくんだったな。";"I wish I devoted myself more to my wife before she passed away.";"N2";"孝行";"孝: 6, 行: 2"
"Disobedience To Parents, Lack Of Filial Piety";"ふこう";"自分の家族の不孝になるようなことは、絶対にしたくない。";"I never want to do anything that would be disrespectful toward my family.";"None";"不孝";"不: 4, 孝: 6"
"Genius, Person Of Exceptional Talent, Exceptionally Talented Person";"しゅんさい";"この問題集は俊才児を対象にして作られているので、あなたのお子さんには難しすぎますよ。";"This textbook is designed for genius children, so it will be difficult for your kid.";"None";"俊才";"俊: 9, 才: 2"
"Side Business, Second Job, Moonlighting";"けんぎょう";"最近では、兼業ヤクザが増えてきています。";"The amount of yakuza who have side jobs has been increasing lately.";"N1";"兼業";"兼: 9, 業: 3"
"Combined Use, Serving Two Purposes";"けんよう";"この食事は朝昼兼用にします。";"I’d call this meal brunch.";"N1";"兼用";"兼: 9, 用: 2"
"To Combine, To Double As";"かねる";"できれば台所と居間を兼ねるような部屋がある方がいいなぁ。";"I prefer to have a kitchen-cum-living room if possible.";"N2";"兼ねる";"兼: 9"
"Detergent";"せんざい";"どうして洗剤一本買うだけで三時間もかかるの。";"Why did it take you three hours to buy one bottle of detergent?";"N2";"洗剤";"洗: 6, 剤: 9"
"Medicine, Drugs";"やくざい";"薬剤を使い終わったら、必ず薬剤入れに戻してください。";"Make sure you put the medicine away in the medicine case after you use it.";"None";"薬剤";"薬: 3, 剤: 9"
"Pharmacist";"やくざいし";"薬剤師は別に白衣を着る必要はないと思うんだよな。";"I don’t think pharmacists really need to wear white coats.";"None";"薬剤師";"薬: 3, 剤: 9, 師: 5"
"Preservative, Antiseptic";"ぼうふざい";"古い防腐剤はどこに捨てればいいですか。";"Where should I throw away old antiseptics?";"None";"防腐剤";"防: 5, 腐: 9, 剤: 9"
"Medicine, Dose";"ざい";"解毒剤の極秘開発を行う予定だとちょいと小耳に挟みましたよ。";"I heard it through the grapevine that you guys are going to do some hush-hush antidote experiments.";"None";"〜剤";"剤: 9"
"To Blow";"ふく";"我慢するんだ！諦めるなよ。明日は明日の風が吹くんだからさ！";"Be patient and don’t give up. Tomorrow’s wind will blow tomorrow!";"N5";"吹く";"吹: 9"
"Ditch, Moat, Canal";"ほり";"堀があれば、ゾンビとうまく闘えると思わないか？";"Don’t you think that if there was a moat, we could fight well against the zombies?";"N2";"堀";"堀: 9"
"Inner Moat";"うちぼり";"私は彼を内堀に通すために道をあけた。";"I stepped aside to let him pass through to the inner moat.";"None";"内堀";"内: 2, 堀: 9"
"Outer Moat";"そとぼり";"ちょっと気が変わって、外堀は必要がないようと思うようになりました。";"I’ve changed my mind, I don’t think we need an outer moat.";"None";"外堀";"外: 2, 堀: 9"
"Patrol, Going Around";"じゅんかい";"天気予報が外れて、巡回中に雨が降り出しました。";"The weather forecast was wrong and it started to rain while I was on patrol.";"None";"巡回";"巡: 9, 回: 2"
"Pilgrimage";"じゅんれい";"世界中の聖地を巡礼しようと決心しました。";"I’ve decided to go on a pilgrimage to sacred places around the world.";"None";"巡礼";"巡: 9, 礼: 3"
"To Go Around, To Return";"めぐる";"今日は五つのお寺を巡る予定です。";"We’ve arranged to go around to five temples today.";"N2";"巡る";"巡: 9"
"Police, Policeman";"じゅんさ";"その巡査は、スコッチを一気にゴクリと半分飲み干した。";"The policeman drank half the scotch in one gulp.";"N2";"巡査";"巡: 9, 査: 5"
"To Warn, To Caution, To Admonish";"いましめる";"誰かが彼女の無茶苦茶な運転を戒める必要があるんじゃない？";"Someone needs to warn her about her reckless driving, right?";"None";"戒める";"戒: 9"
"Admonition";"かいこく";"彼女が私の尻を触ったことはセクハラに当たります。即刻戒告処分にしてください。";"Her touching my butt is sexual harassment. I want you to reprimand her immediately.";"None";"戒告";"戒: 9, 告: 4"
"Warning, Admonition";"くんかい";"いつも勉強会で居眠りする同僚がいてさ、ついに上司が今日それについて訓戒を与えてたよ。";"My coworker always dozes off during study sessions and our boss finally admonished him for it today.";"None";"訓戒";"訓: 4, 戒: 9"
"Vigilance, Precaution";"けいかい";"ちょっと警戒していることがあるんです。";"There is something I’m a bit cautious of.";"N1";"警戒";"警: 6, 戒: 9"
"Exhaust, Ventilation";"はいき";"自動車の排気ガスの臭いが好きなのは、私達の共通点ですね。";"Liking the smell of the automobile exhaust is something we have in common.";"None";"排気";"排: 9, 気: 1"
"Exclusion";"はいた";"日本記者クラブはかなり排他的だよ。";"The Japanese press club is fairly exclusive.";"None";"排他";"排: 9, 他: 3"
"Drainage";"はいすい";"記念硬貨を排水溝に落っことしちゃった。";"I dropped the commemorative coin down the drain.";"N1";"排水";"排: 9, 水: 1"
"Emission";"はいしゅつ";"植物は二酸化炭素を吸収し、酸素を排出します。";"Plants absorb carbon dioxide and give off oxygen.";"None";"排出";"排: 9, 出: 1"
"Exclusion, Removal, Elimination";"はいじょ";"各下水道施設は、下水排除規準を満たす必要があります。";"Each sewage facility needs to meet sewage removal standards. ";"N1";"排除";"排: 9, 除: 6"
"Portable, Cell Phone, Mobile Phone";"けいたい";"携帯の電源を入れるには、電源ボタンを五秒間長押しする必要があります。";"To turn on your cell phone you need to press the power button for five seconds.";"N1";"携帯";"携: 9, 帯: 4"
"To Engage In, To Participate, To Take Part In";"たずさわる";"同僚の評価に携わるのは嫌だったが、選択の余地はなかった。";"I didn’t want to participate in an evaluation of my coworkers, but I didn’t have a choice.";"N1";"携わる";"携: 9"
"Sensitivity, Sensitive To, Sensibility";"びんかん";"耳がすっごい敏感だから、コショコショ話はしないで。";"Please don’t whisper because my ears are really sensitive.";"N1";"敏感";"敏: 9, 感: 3"
"Oversensitivity, Nervousness";"かびん";"過敏性大腸症候群に苦しんでいます。";"I’m suffering from irritable colon syndrome.";"None";"過敏";"過: 5, 敏: 9"
"Quick, Prompt, Clever, Shrewd, Smart";"きびん";"ウェイトレスってのは機敏に動くものなのに、彼女はとんでもなく鈍いんだよ。";"Waitresses are supposed to move quickly, but she is ridiculously slow. ";"None";"機敏";"機: 4, 敏: 9"
"Sharpness, Quick Witted, Keenness";"えいびん";"その犬の鋭敏な嗅覚は、何人もの麻薬密売人を捕らえました。";"That dog’s keen nose caught so many drug dealers.";"None";"鋭敏";"鋭: 9, 敏: 9"
"Sharp";"するどい";"私は森で熊に遭遇し、鋭い爪で顔を引っ掻かれました。";"I ran into a bear in the forest and it scratched my face with its sharp claws.";"N3";"鋭い";"鋭: 9"
"Sharpness";"えいり";"通り魔は、鋭利な刃物で私の全身を切りつけた。";"The random attacker slashed at my body with a sharp knife.";"None";"鋭利";"鋭: 9, 利: 4"
"Cutting Edge, Up-And-Coming, State Of The Art, Freshly Picked";"しんえい";"その会社は最新鋭のパソコンを購入することを決定しました。";"The company decided to buy the cutting edge computer.";"None";"新鋭";"新: 2, 鋭: 9"
"To Spread Out, To Lay Out";"しく";"彼に、部屋にカーペットを敷くよう説得しました。";"I persuaded him to put a carpet in his room.";"N2";"敷く";"敷: 9"
"Security Deposit";"しききん";"敷金を全額返金してもらいました。";"I got a full refund on my security deposit.";"None";"敷金";"敷: 9, 金: 1"
"Residence, Estate";"やしき";"男の妻は毎日お屋敷で何もせずただブラブラしている。";"His wife does nothing but aimlessly wander around the estate everyday.";"N1";"屋敷";"屋: 3, 敷: 9"
"Tatami Room, Tatami Mat Room";"ざしき";"お座敷のどこかでコオロギが鳴いている。";"There’s a cricket chirping somewhere in the tatami room.";"N2";"座敷";"座: 6, 敷: 9"
"Mr., Ms., Lord";"どの";"この賞状は、中村コウイチ殿の優れた功績を称えて与られます。";"This certificate is awarded to Mr. Nakamura Koichi in recognition of his outstanding achievement.";"None";"〜殿";"殿: 9"
"Mr., Ms., Lord";"どの";"鈴木殿にお伝えください。";"Please tell Lord Suzuki.";"None";"〜殿";"殿: 9"
"Mr., Ms., Lord";"どの";"名前の後に「殿」を付ける用法は、現代では同列か目下の人に対しての敬称として、書面にのみ用いられる。";"The use of ""dono"" after a name is used today only in written documents as an honorific title for those who are equal or inferior to you.";"None";"〜殿";"殿: 9"
"Feudal Lord";"とのさま";"暇つぶしにイケメンの殿様の絵を描きました。";"I drew a handsome feudal lord to waste time.";"N1";"殿様";"殿: 9, 様: 3"
"Palace, Sanctuary, Hall Of Fame";"でんどう";"その殿堂の屋根は、たくさんの柱で支えられています。";"The roof of the palace is supported by many pillars.";"None";"殿堂";"殿: 9, 堂: 4"
"Palace, Sanctuary, Hall Of Fame";"でんどう";"東大は学問の殿堂と言われています。";"The University of Tokyo is said to be a sanctuary of learning.";"None";"殿堂";"殿: 9, 堂: 4"
"Palace, Sanctuary, Hall Of Fame";"でんどう";"お前にとって、殿堂入りを果たした選手といえば、誰になる？";"Who would you say are the players that should be inducted into the hall of fame?";"None";"殿堂";"殿: 9, 堂: 4"
"Sacrifice Fly, Sacrifice Bunt";"ぎだ";"犠打にならないか心配です。";"I can’t help but worry about the sacrifice fly.";"None";"犠打";"犠: 9, 打: 3"
"Acquisition, Possession";"かくとく";"今日ゲームをプレイすると、いつもの二倍のコインが獲得できるよ。";"If you play the game today, you can get double the usual amount of coins.";"N1";"獲得";"獲: 9, 得: 4"
"Capture, Seizure";"ほかく";"このメモ帳に、巨人の捕獲についての思いついたことを全部メモしています。";"In this memo pad, I’ve kept notes on all my ideas for capturing titans.";"N1";"捕獲";"捕: 9, 獲: 9"
"Spoils, Trophy, Game";"えもの";"都会には、我々の詐欺の獲物がたくさんいるんだよ。";"There is a lot of easy prey for us to swindle in this city.";"N1";"獲物";"獲: 9, 物: 3"
"To Be Luxuriant, To Grow Thickly";"しげる";"妖婆の庭には雑草が生い茂っていた。";"The hag’s garden had grown thick with weeds.";"N2";"茂る";"茂: 9"
"Luxuriant Growth";"はんも";"庭に雑草が繁茂しているので、この週末に草刈りをします。";"Our yard is overgrown with weeds, so I’m going to mow them this weekend.";"None";"繁茂";"繁: 9, 茂: 9"
"Frequent, Incessant";"ひんぱん";"お前は頻繁にくだらない事を気にし過ぎなんだって。";"You frequently sweat the small stuff.";"N1";"頻繁";"頻: 9, 繁: 9"
"Breeding, Multiplying";"はんしょく";"本当に俺たちの柴犬を繁殖させることができると思う？";"Do you really think we can breed our own Shiba dogs?";"N1";"繁殖";"繁: 9, 殖: 9"
"Prospering, Prosperity";"はんえい";"信じられないかもしれませんが、私が生まれ育ったこの港町は、かつては繁栄していたんですよ。";"You might not believe it but this port town where I was born and raised was once prosperous.";"N1";"繁栄";"繁: 9, 栄: 4"
"Frequency";"ひんど";"どれくらいの頻度で家に掃除機をかけますか？";"How often do you vacuum your house?";"None";"頻度";"頻: 9, 度: 3"
"Frequency, Frequent Occurrence";"ひんぱつ";"みんな、頻発する地震に、ストレスが溜まりに溜まっているんだよ。";"Everyone is extremely stressed out with these repeated earthquakes.";"None";"頻発";"頻: 9, 発: 3"
"Frequently, Repeatedly, Often";"しきりに";"彼は「ライオンキングは子どもから大人まで楽しめるショーだ」ということを頻りに強調した。";"He repeatedly emphasized that both kids and adults can enjoy the Lion King show.";"N1";"頻りに";"頻: 9"
"Reproduction";"せいしょく";"今、生殖器が二つある女の子と付き合ってるんだよ。";"I’m dating a girl who has two reproductive organs.";"None";"生殖";"生: 1, 殖: 9"
"To Multiply, To Increase";"ふえる";"なんだか毛が殖えてるなあと思ったら、植毛手術をしたんだぁ！なるほどねぇ。";"I thought your hair had multiplied somehow, but you had hair replacement surgery, huh? I see.";"N2";"殖える";"殖: 9"
"Thin, Weak, Dilute";"うすい";"コピー機のインクの色が薄くなってきちゃった。新しいトナーを買わなくっちゃ。";"My copier is printing with lighter ink. I have to buy new toner.";"N5";"薄い";"薄: 9"
"Weakness, Feebleness";"はくじゃく";"お兄さんに言われたわ。あなたは意志薄弱だから私と別れることができないけど、本当は別れたいんだって。";"Your brother told me that you are too weak-willed to break up with me, but that you really want to.";"N1";"薄弱";"薄: 9, 弱: 2"
"Cold Hearted";"はくじょう";"彼は薄情者だし、どっちの味方かサッパリ分からないよ。";"He is cold hearted and I have no idea whose side he’s taking.";"None";"薄情";"薄: 9, 情: 5"
"Shock, Crash, Impact";"しょうげき";"あなたは爆発の衝撃で気絶したのよ。";"You passed out from the shock of an explosion.";"N1";"衝撃";"衝: 9, 撃: 9"
"Collision, Impact, Conflict";"しょうとつ";"高速道路で、車が次々と衝突しました。";"On the highway, cars collided one after another.";"N3";"衝突";"衝: 9, 突: 9"
"Honor, Prestige";"めいよ";"あいつは名誉を得ることには興味がないなんて言ってるけど、俺は嘘だと思うね。";"He says he has no interest in gaining prestige, but I think that’s a lie.";"N1";"名誉";"名: 1, 誉: 9"
"Honor";"えいよ";"トーフグで仕事をするという栄誉を得たとき、そのオファーに感激して言葉に詰まりました。";"When I got the honor of working for Tofugu, I was so thrilled at the offer that I stumbled over my words. ";"None";"栄誉";"栄: 4, 誉: 9"
"To Praise, To Compliment";"ほめる";"どう返答していいか分からないので、人に褒められるのは苦手です。";"I’m bad at being complimented because I don’t know how to respond.";"N3";"褒める";"褒: 9"
"Reward, Prize";"ほうび";"頑張ったご褒美がもらえることを期待しています。";"I’m hoping to get a reward for my hard work.";"N1";"褒美";"褒: 9, 美: 3"
"Medal, Prize, Reward";"ほうしょう";"褒賞を受け取るために舞台に上がろうとした時、彼女は階段につまづきました。";"When she tried to go up on the stage to get her prize, she tripped on the stairs.";"None";"褒賞";"褒: 9, 賞: 4"
"To Be Transparent, To Be See-Through";"すける";"光っている電球の上に銀色のスクラッチカードを当てると、その銀色の部分の下に何が書かれてるかが透けて見えちゃうことがあるんだよ。";"If you put a silver scratch card over a bright lightbulb, sometimes you can see through the silver part at what’s written underneath.";"None";"透ける";"透: 9"
"Transparent, Transparency";"とうめい";"透明人間の男は、バスタオルで自分の体をよーく拭きました。";"The invisible man carefully dried himself with a bath towel.";"N2";"透明";"透: 9, 明: 2"
"Neighbor, Next To, Next Door Neighbor";"となり";"子育ては隣町でしてたんですが、子どもたちがみんな大きくなったので主人と私はこの町に越して来たんですよ。";"We raised our children in a neighboring town, then my husband and I moved to this town after they grew up.";"N5";"隣";"隣: 9"
"Neighboring House";"りんか";"隣家ではどうやら窓は新聞紙で拭くようです。";"It seems that the people in the neighboring house wipe their windows with newspapers.";"None";"隣家";"隣: 9, 家: 2"
"Neighborhood";"きんりん";"コウイチ大統領は、近隣諸国との関係をないがしろにはしなかった。";"President Koichi never ignored relationships with neighboring countries.";"None";"近隣";"近: 2, 隣: 9"
"Neighboring Country";"りんごく";"どうして隣国の肩を持つのさ？日本人じゃないの？";"Why are you taking sides with the neighboring country? Aren’t you Japanese?";"None";"隣国";"隣: 9, 国: 2"
"Neighbor";"りんじん";"私の隣人は、幸運を呼ぶお守りを持っていることで有名です。";"My neighbor is famous for having a charm that brings good luck.";"None";"隣人";"隣: 9, 人: 1"
"Artistry, Good Taste, Elegance";"がち";"壁の絵はとても雅致がありますね。どなたの作品ですか？";"This picture on the wall is very tasteful. Who painted this?";"N1";"雅致";"雅: 9, 致: 9"
"Japanese Court Music, Gagaku";"ががく";"雅楽の演奏会の後は、何をしましょうか。";"What should we do after the Japanese court music concert?";"None";"雅楽";"雅: 9, 楽: 2"
"Elegance, Grace";"ゆうが";"彼女は自称「優雅なマダム」です。";"She is a self-appointed ""elegant madam.""";"None";"優雅";"優: 6, 雅: 9"
"To Abstain";"ひかえる";"お酒を控えるなんてらしくないね。もしかして、妊娠したとか？";"It’s not like you to abstain from alcohol. Unless maybe, are you pregnant?";"N1";"控える";"控: 9"
